start     ,  N=100   ,4.993677e-07
start     ,  N=1000  ,4.288483e-05
start     , N=10000  ,1.910572e-03
start     , N=100000 ,1.916731e-02
end       ,  N=100   ,4.992485e-07
end       ,  N=1000  ,4.982948e-07
end       , N=10000  ,4.986525e-07
end       , N=100000 ,9.971857e-07
end       ,  N=100   ,0.000000e+00
end       ,  N=1000  ,0.000000e+00
end       , N=10000  ,9.976625e-07
end       , N=100000 ,5.006790e-07
middle    ,  N=100   ,4.827976e-07
middle    ,  N=1000  ,2.096546e-05
middle    , N=10000  ,9.068344e-04
middle    , N=100000 ,9.496434e-03

